Estación|Nombre estación|Red|Nombre red|Canales|Instrumentos|Región|Provincia|Comuna|Inicio registros|Término registros|Latitud|Longitud|Datum|Elevación
AHML|Horco Molle, Tucuman Argentina|RI|INPRES|HHE;HHN;HHZ;LOG|Reftek 130 Datalogger;Guralp CMG40T_30sec/Reftek 130 Datalogger|No aplica|No aplica|No aplica|2001-05-14|2599-12-31|-26.7847|-65.3345|WGS84|670.0
CYA|Choya, Catamarca Argentina|RI|INPRES|HHE;HHN;HHZ;LOG|Reftek 130 Datalogger;Guralp CMG40T_30sec/Reftek 130 Datalogger|No aplica|No aplica|No aplica|2001-05-14|2599-12-31|-28.4417|-65.802|WGS84|570.0
RTLL|Cerro Vilcun, San Juan Argentina|RI|INPRES|HHE;HHN;HHZ|Guralp CMG40T_30sec/Dummy Datalogger used in ignor|No aplica|No aplica|No aplica|2001-05-14|2599-12-31|-31.3292|-68.4748|WGS84|690.0
SLA|San Lorenzo, Salta Argentina|RI|INPRES|HHE;HHN;HHZ;LOG|Reftek 130 Datalogger;Guralp CMG40T_30sec/Reftek 130 Datalogger|No aplica|No aplica|No aplica|2001-05-14|2599-12-31|-24.7212|-65.5045|WGS84|1520.0
USHA|Ushuaia, Tierra del Fuego Argentina|RI|INPRES|BHE;BHN;BHZ|Streckeisen STS-2 G2/Guralp DM24 Datalogger|No aplica|No aplica|No aplica|2011-05-14|2599-12-31|-54.8319|-68.4333|WGS84|107.0
VCA|Vinchina, La Rioja Argentina|RI|INPRES|HHE;HHN;HHZ;LOG|Reftek 130 Datalogger;Guralp CMG40T_30sec/Reftek 130 Datalogger|No aplica|No aplica|No aplica|2001-05-14|2599-12-31|-28.7363|-68.2056|WGS84|1500.0
YJA|Yavi, Jujuy Argentina|RI|INPRES|EHE;EHN;EHZ;LOG|Reftek 130 Datalogger;Geotech S-13 short-period seismometer/Reftek 130 D|No aplica|No aplica|No aplica|2001-05-14|2599-12-31|-22.1759|-65.5142|WGS84|3510.0
ADU2|Aduana|TC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Maule|Curicó|Romeral|2018-01-01|2599-12-31|-35.147367|-70.471322|WGS84|2061.0
ARAN|Arana|TC|Sernageomin|HHE;HHN;HHZ|RT151A, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Maule|Talca|San Clemente|2018-05-14|2599-12-31|-35.78645|-70.778218|WGS84|1260.0
AVAL|Avaroa|TC|Sernageomin|HHE;HHN;HHZ|RT151B, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Antofagasta|El Loa|Ollagüe|2017-01-01|2599-12-31|-21.245942|-68.296053|WGS84|3768.0
AZUF|Azufre|TC|Sernageomin|HHZ|L-4C, 1 Hz, 171 V/m/s, Rc=5500 Ohms, Rs=8905 Ohms-|Libertador General Bernardo O'Higgins|Colchagua|San Fernando|2017-11-29|2599-12-31|-34.837467|-70.364473|WGS84|3852.0
BLOQ|Bloque|TC|Sernageomin|HHE;HHN;HHZ|Trillium 40, 40 s, 1553 V/m/s-RT130, gain 1, 100 s|Tarapacá|Tamarugal|Pica|2017-01-01|2599-12-31|-20.7196|-68.5827|WGS84|4155.0
BOSQ|Bosque|TC|Sernageomin|HHE;HHN;HHZ|RT151A, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|No aplica|No aplica|No aplica|2018-01-01|2599-12-31|-37.8495|-71.0099|WGS84|1661.0
BOSZ|Bosque|TC|Sernageomin|HHZ|RT151A, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|No aplica|No aplica|No aplica|2018-01-01|2599-12-31|-37.8495|-71.0099|WGS84|1661.0
CAQ|Callaqui|TC|Sernageomin|HHZ|L-4C, 1 Hz, 171 V/m/s, Rc=5500 Ohms, Rs=8905 Ohms-|Biobío|Biobío|Alto Biobío|2018-01-01|2599-12-31|-37.945075|-71.408099|WGS84|2354.0
CARR|Carrizales|TC|Sernageomin|HHE;HHN;HHZ|RT151B, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Maule|Curicó|Romeral|2017-01-01|2599-12-31|-35.217775|-70.629619|WGS84|2024.0
CAST|Castillo|TC|Sernageomin|HHZ|L-4C, 1 Hz, 171 V/m/s, Rc=5500 Ohms, Rs=8905 Ohms-|Maule|Linares|Longaví|2018-05-14|2599-12-31|-36.22428|-71.212443|WGS84|311.0
CHCY|Chacay|TC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 2000 V/m/s-DM-24 Mk3 Fixed Gain, ga|Biobío|Biobío|Antuco|2018-05-14|2599-12-31|-37.401182|-71.411968|WGS84|44.0
COLO|Coloradas|TC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 1600 V/m/s-DM-24 Mk3 Fixed Gain, ga|Maule|Talca|San Clemente|2018-01-01|2599-12-31|-36.133485|-70.471094|WGS84|2285.0
ELTO|ELTORO|TC|Sernageomin|HHE;HHN;HHZ|Trillium 120P, 120 s, 1201 V/m/s-RT130, gain 1, 10|Biobío|Biobío|Antuco|2018-01-01|2599-12-31|-37.380908|-71.380371|WGS84|1507.0
ENQU|Enquelga|TC|Sernageomin|HHE;HHN;HHZ|RT151B, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Tarapacá|Tamarugal|Colchane|2017-01-01|2599-12-31|-19.206533|-68.826183|WGS84|4149.0
FILO|FILO|TC|Sernageomin|HHE;HHN;HHZ|Trillium Compact, 120 s, 754 V/m/s-RT130, gain 1,|La Araucanía|Malleco|Lonquimay|2018-01-01|2599-12-31|-38.348093|-71.605583|WGS84|1846.0
GUP|Guamparo|TC|Sernageomin|HHE;HHN;HHZ|CMG-40T, 30 s, 3200 V/m/s-DM-24 Mk3 Fixed Gain, ga|Maule|Talca|San Clemente|2018-01-01|2599-12-31|-35.541214|-71.036286|WGS84|2270.0
LASC|LASCAR|TC|Sernageomin|HHE;HHN;HHZ|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|Antofagasta|El Loa|San Pedro de Atacama|2018-01-01|2599-12-31|-23.347114|-67.781788|WGS84|4219.0
LLIF|Llifen|TC|Sernageomin|HHE;HHN;HHZ|CMG-6T, 30s-100Hz, 2400 V/m/s-CD24, gain 1, 100 sp|Los Ríos|Ranco|Futrono|2018-01-01|2599-12-31|-40.206415|-72.261316|WGS84|320.0
PAJO|Pajonales|TC|Sernageomin|HHZ|L-4C, 1 Hz, 171 V/m/s, Rc=5500 Ohms, Rs=8905 Ohms-|Antofagasta|Antofagasta|Antofagasta|2017-11-29|2599-12-31|-25.082472|-68.554389|WGS84|4453.0
PINT|Pinto|TC|Sernageomin|HHE;HHN;HHZ|RT151A, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Los Lagos|Palena|Hualaihué|2018-01-01|2599-12-31|-41.81047|-72.352881|WGS84|1567.0
PORU|PORUNA|TC|Sernageomin|HHE;HHN;HHZ|RT151A, 30 s, 2000 V/m/s-RT130, gain 1, 100 sps|Antofagasta|El Loa|Calama|2018-01-01|2599-12-31|-21.87016|-68.4839|WGS84|3616.0
